Következmény megnevezése ;Időjárási ok ;darab ;min ;max;átlag
Állomástávolságú közlekedés ;Vihar ;6;2;8;5,67
Áramellátási zavar ;Vihar, erős szél ;9;3;63;14,44
Leeresztett áramszedős közlekedés ;Erős szél ;4;1;3;2
Biztosítóberendezési meghibásodás ;Vihar ;2;3;5;4
Csúszós sínek ;Nyirkos, faleveles, őszi időjárás ;44;2;7;1,68
Fabedőlés ;Vihar ;1;10;10;10
Felsővezeték szakadás ;Erős szél ;47;2;290;53,66
Hamisfoglaltság ;Vihar ;39;1;11;4,92
Mindenhol megálló vonat ;Vihar ;1;3;3;3
Sebességkorlátozás ;Erős szél, köd,  saras pálya (aljzat) ;199;1;30;5,24
Használhatatlan sorompó ;Vihar ;82;2;48;10,98
Szolgálatképtelen mozdony (áramszedő törés) ;Vihar ;3;27;58;40,67
Korlátozott távolbalátás ;Köd ;1;5;5;5
Vonatpótló autóbuszos közlekedés ;Vihar, erős szél ;49;2;99;28,55
;;;;;
